split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.008400616236031055,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,1.1216116350260563,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.009311730042099953,0.4444444444444444,5.960464477539063e-08,0.1653784215450287,0.49554309248924255,1.1216116350260563,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.008639996871352196,0.4444444444444444,5.960464477539063e-08,0.2532593309879303,0.38586729764938354,1.1216116350260563,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.009262025356292725,0.4444444444444444,5.960464477539063e-08,0.22257168591022491,0.5801925659179688,1.1216116350260563,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.008317100815474987,0.4444444444444444,5.960464477539063e-08,0.0,0.0,1.1216116350260563,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.008205871097743511,0.4444444444444444,1.1920928955078125e-07,0.1568233072757721,0.547995924949646,1.1216116350260563,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.007219385821372271,0.4444444444444444,0.0,0.2682032585144043,0.5752722024917603,1.1216116350260563,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.00685469014570117,0.4444444444444444,1.1920928955078125e-07,0.36875811219215393,0.4977618157863617,1.1216116350260563,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.008296797052025795,0.4444444444444444,5.960464477539063e-08,0.0,0.0,1.1216116350260563,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.010068891569972038,0.4444444444444444,5.960464477539063e-08,0.15676118433475494,0.7081406116485596,1.1216116350260563,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.009916202165186405,0.4444444444444444,5.960464477539063e-08,0.2023053914308548,0.6731341481208801,1.1216116350260563,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.0097343223169446,0.4444444444444444,5.960464477539063e-08,0.249473437666893,0.6631591320037842,1.1216116350260563,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.00835698563605547,0.4444444444444444,5.960464477539063e-08,0.0,0.0,1.1216116350260563,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.009578313678503036,0.4444444444444444,1.1920928955078125e-07,0.1678217202425003,0.561100423336029,1.1216116350260563,,cuda
