split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,graph_distance_from_cold,graph_distance_from_previous_phase,mean_absolute_score_change_from_cold,score_correlation_with_cold,support_loss_before_guidance,support_loss_after_guidance,guidance_loss_mean,guidance_loss_last,raw_guidance_gradient_norm_mean,raw_guidance_gradient_norm_max,warm_start_timestep,embedding_support_loss_before,embedding_support_loss_after,local_item_embedding_delta_norm,sampling_seconds
validation,1,0,Cold,6,0.5645323991775513,0.17157402634620667,0.002783923875540495,0.5802469135802469,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029938119696453214
validation,1,0,Warm A,6,0.5646138787269592,0.17153112590312958,0.0025066938251256943,0.5802469135802469,1.0,0.0010038715554401278,0.0010038715554401278,0.06876340508460999,0.9275431912039668,0.3792344033718109,0.37923574447631836,0.37923517525196077,0.37923574447631836,0.001908981439191848,0.0021123450715094805,22.0,0.4818636178970337,0.3595622777938843,0.2599044144153595,0.03563565103104338
validation,1,0,Warm B,6,0.5646595358848572,0.1714637130498886,0.0021412125788629055,0.5802469135802469,1.0,0.001475791446864605,0.0009102629846893251,0.09233298152685165,0.9207148868217635,0.3619518280029297,0.3619563579559326,0.36195771396160126,0.3619563579559326,0.0016755174981274953,0.0020882119424641132,22.0,0.396837055683136,0.35645055770874023,0.35094934701919556,0.03543671901570633
validation,1,0,Warm C,6,0.5646971464157104,0.17145560681819916,0.002088706474751234,0.5802469135802469,1.0,0.0017539509572088718,0.0009032299276441336,0.08238904923200607,0.9257242099749571,0.3750429153442383,0.37504324316978455,0.37504343390464784,0.37504327297210693,0.0016538478317670523,0.002045639092102647,22.0,0.398192822933197,0.3734092712402344,0.40994498133659363,0.035437886021099985
validation,5,4,Cold,6,0.5708027482032776,0.17519932985305786,0.002942825434729457,0.588477366255144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028191189630888402
validation,5,4,Warm A,6,0.5707658529281616,0.17513400316238403,0.0026186357717961073,0.5925925925925926,1.0,0.000948807573877275,0.000948807573877275,0.17390748858451843,0.8052770646232275,0.38494786620140076,0.38486218452453613,0.384859111905098,0.38486218452453613,0.0017960992719357213,0.0020480845123529434,22.0,0.5780228972434998,0.35055217146873474,0.2434576153755188,0.03578071005176753
validation,5,4,Warm B,6,0.5706709623336792,0.17509503662586212,0.002270443132147193,0.5843621399176955,1.0,0.0013619011733680964,0.0009015899267978966,0.2511709928512573,0.6760719463758272,0.392503947019577,0.39257630705833435,0.39257577061653137,0.39257630705833435,0.001779811994250243,0.001998519990593195,22.0,0.45710158348083496,0.3803673982620239,0.3923732042312622,0.03545384999597445
validation,5,4,Warm C,6,0.5706022381782532,0.1750275045633316,0.0021380488760769367,0.5925925925925926,1.0,0.0016476917080581188,0.0008629003423266113,0.2795719802379608,0.6518668182417092,0.34964197874069214,0.349681556224823,0.3496801644563675,0.3496815860271454,0.0016412496624980122,0.002272171201184392,22.0,0.3662205934524536,0.35230502486228943,0.5486483573913574,0.03542513900902122
validation,7,6,Cold,6,0.5676406025886536,0.17137053608894348,0.002576996572315693,0.5802469135802469,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002808500954415649
validation,7,6,Warm A,6,0.5675067901611328,0.17131930589675903,0.002323042368516326,0.5843621399176955,1.0,0.0009083360200747848,0.0009083360200747848,0.0709228590130806,0.8930708501584214,0.6263288259506226,0.6263523101806641,0.6263525784015656,0.6263523697853088,0.0017096655171674987,0.002174376044422388,22.0,0.6935941576957703,0.6036635041236877,0.23815426230430603,0.03553367598215118
