source_row,user_id,user_idx,item_id,item_idx,rating,timestamp,label,item_rank,role
998362,6035,6034,4,3,2,956712120,0,0,warm_a
998642,6036,6035,4,3,2,956753920,0,1,warm_a
997543,6025,6024,4,3,3,956813456,0,2,warm_a
989466,5974,5973,4,3,2,956948267,0,3,warm_a
987276,5960,5959,4,3,4,957029150,1,4,warm_a
986189,5955,5954,4,3,3,957110334,0,5,warm_a
980030,5915,5914,4,3,4,957401213,1,6,warm_a
975576,5881,5880,4,3,3,957548559,0,7,warm_a
968727,5840,5839,4,3,3,957831388,0,8,warm_a
966452,5831,5830,4,3,4,957889491,1,9,warm_a
960825,5795,5794,4,3,4,958078852,1,10,warm_a
970969,5852,5851,4,3,2,958102365,0,11,warm_a
959165,5788,5787,4,3,2,958109067,0,12,warm_a
957790,5780,5779,4,3,3,958155280,0,13,warm_a
952398,5754,5753,4,3,3,958272625,0,14,warm_a
942530,5686,5685,4,3,2,958688714,0,15,warm_a
939457,5670,5669,4,3,1,958715222,0,16,warm_a
936271,5649,5648,4,3,3,958869106,0,17,warm_a
934325,5641,5640,4,3,2,958926840,0,18,warm_a
923131,5575,5574,4,3,3,959293394,0,19,warm_a
917762,5547,5546,4,3,3,959478667,0,20,warm_b
915284,5532,5531,4,3,4,959618337,1,21,warm_b
906383,5483,5482,4,3,3,959889123,0,22,warm_b
903097,5459,5458,4,3,4,959911940,1,23,warm_b
897502,5428,5427,4,3,4,960081879,1,24,warm_b
894888,5405,5404,4,3,2,960253451,0,25,warm_b
888441,5367,5366,4,3,2,960508641,0,26,warm_b
882746,5333,5332,4,3,4,960870781,1,27,warm_b
963791,5812,5811,4,3,3,960878638,0,28,warm_b
869900,5256,5255,4,3,2,961298872,0,29,warm_b
868358,5245,5244,4,3,2,961380835,0,30,warm_b
867775,5239,5238,4,3,3,961444938,0,31,warm_b
868656,5249,5248,4,3,3,961605117,0,32,warm_b
856901,5148,5147,4,3,1,962014297,0,33,warm_b
851374,5111,5110,4,3,3,962331273,0,34,warm_b
845622,5083,5082,4,3,3,962465167,0,35,warm_b
842233,5061,5060,4,3,4,962486965,1,36,warm_b
837345,5035,5034,4,3,4,962558433,1,37,warm_b
819654,4928,4927,4,3,3,962663695,0,38,warm_b
818198,4916,4915,4,3,1,962676474,0,39,warm_b
848669,5100,5099,4,3,3,962716368,0,40,warm_c
807972,4837,4836,4,3,2,962896262,0,41,warm_c
804739,4819,4818,4,3,3,962923425,0,42,warm_c
805581,4823,4822,4,3,2,963010162,0,43,warm_c
798177,4786,4785,4,3,4,963010908,1,44,warm_c
790941,4729,4728,4,3,4,963350084,1,45,warm_c
788910,4725,4724,4,3,3,963378925,0,46,warm_c
789906,4726,4725,4,3,3,963993133,0,47,warm_c
776033,4635,4634,4,3,4,964035149,1,48,warm_c
773573,4611,4610,4,3,4,964154362,1,49,warm_c
